"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1986","FN","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN","2017","FN"
"1","1.2","1.2.1","C010201","Proportion of population living below the national poverty line, by sex and age","SI_POV_NAHC","SD","Proportion of population below national poverty line","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Rural","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.80","CA, 11, 170","","","","","","","","","16.70","CA, 16, 170","15.50","CA, 17, 170","12.40","CA, 18, 170","9.70","CA, 19, 170","9.50","CA, 20, 170","8.90","CA, 21, 171","11.50","CA, 22, 171","9.40","CA, 23, 172","9.00","CA, 24, 172","7.90","CA, 25, 172","8.70","CA, 26, 173","","","",""
"1","1.2","1.2.1","C010201","Proportion of population living below the national poverty line, by sex and age","SI_POV_NAHC","SD","Proportion of population below national poverty line","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.90","CA, 11, 170","28.90","CA, 12, 170","30.50","CA, 13, 170","27.10","CA, 14, 170","17.80","CA, 15, 170","12.70","CA, 16, 170","11.10","CA, 17, 170","7.70","CA, 18, 170","6.10","CA, 19, 170","5.40","CA, 20, 170","5.20","CA, 21, 171","7.30","CA, 22, 171","6.30","CA, 23, 172","5.50","CA, 24, 172","4.80","CA, 25, 172","5.10","CA, 26, 173","","","",""
"1","1.2","1.2.1","C010201","Proportion of population living below the national poverty line, by sex and age","SI_POV_NAHC","SD","Proportion of population below national poverty line","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Urban","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.90","CA, 11, 170","","","","","","","","","10.90","CA, 16, 170","9.10","CA, 17, 170","5.60","CA, 18, 170","4.40","CA, 19, 170","4.00","CA, 20, 170","3.80","CA, 21, 171","5.80","CA, 22, 171","5.20","CA, 23, 172","4.20","CA, 24, 172","3.70","CA, 25, 172","3.70","CA, 26, 173","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_LMKT","SD","Proportion of the population covered by labour market programs","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96","NA, 19, 58, 175","1.17","NA, 20, 58, 175","0.93","NA, 21, 58, 175","","","0.55","NA, 23, 58, 175","","","","","","","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_LMKTPQ","SD","Proportion of the poorest quintile population covered by labour market programs","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.17","NA, 19, 58, 175","2.34","NA, 20, 58, 175","2.27","NA, 21, 58, 175","","","0.60","NA, 23, 58, 175","","","","","","","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.60","E, 27, 57, 174","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_SOCAST","SD","Proportion of the population covered by social assistance programs","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.95","NA, 19, 58, 175","58.55","NA, 20, 58, 175","58.28","NA, 21, 58, 175","","","57.30","NA, 23, 58, 175","54.10","NA, 24, 58, 175","","","","","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_SOCASTPQ","SD","Proportion of the poorest quintile population covered by social assistance programs","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.87","NA, 19, 58, 175","71.11","NA, 20, 58, 175","68.87","NA, 21, 58, 175","","","66.20","NA, 23, 58, 175","62.92","NA, 24, 58, 175","","","","","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_SOCINS","SD","Proportion of the population covered by social insurance programs","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.09","NA, 19, 58, 175","40.89","NA, 20, 58, 175","42.39","NA, 21, 58, 175","","","47.93","NA, 23, 58, 175","48.69","NA, 24, 58, 175","","","","","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_SOCINSPQ","SD","Proportion of the poorest quintile population covered by social insurance programs","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.39","NA, 19, 58, 175","36.75","NA, 20, 58, 175","37.15","NA, 21, 58, 175","","","42.50","NA, 23, 58, 175","48.98","NA, 24, 58, 175","","","","","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_UEMP","SD","Proportion of unemployed receiving unemployment benefits","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.60","E, 27, 57, 174","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_WKINJRY","SD","Proportion of employed population covered in the event of work injury","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.87","E, 24, 57, 174","","","","","","","",""
"1","1.5","1.5.3","C200304","Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030","SG_DSR_LEGREG","+","Number of countries with legislative and/or regulatory provisions been made for managing disaster risk","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 24, 60, 176","","","1.00","C, 26, 60, 176","","","",""
"2","2.1","2.1.1","C020101","Prevalence of undernourishment","SN_ITK_DEFC","SD","Prevalence of undernourishment","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","<5.0","E, 28, 61","<5.0","E, 29, 61","<5.0","E, 30, 61","<5.0","E, 31, 61","<5.0","E, 32, 61","<5.0","E, 33, 61","<5.0","E, 34, 61","<5.0","E, 35, 61","<5.0","E, 36, 61","<5.0","E, 37, 61","<5.0","E, 38, 61","<5.0","E, 39, 61","<5.0","E, 40, 61","<5.0","E, 41, 61","<5.0","E, 42, 61","<5.0","E, 43, 61","<5.0","E, 44, 61","<5.0","E, 45, 61","<5.0","E, 46, 61","<5.0","E, 47, 61","<5.0","E, 48, 61","<5.0","E, 49, 61","<5.0","E, 50, 61, 177","<5.0","E, 51, 61, 177","<5.0","E, 52, 61, 177","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Rural","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.27","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Urban","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.50","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.68","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.77","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.08","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMSN","+","Estimated number of population in moderate or severe food insecurity","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","771.77","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMSN","+","Estimated number of population in moderate or severe food insecurity","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","577.19","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMSN","+","Estimated number of population in moderate or severe food insecurity","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","674.48","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMSTN","+","Estimated number of population living in households where at least one adult experienced moderate or severe food insecurity","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","807.89","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMSTN","+","Estimated number of population living in households where at least one adult experienced moderate or severe food insecurity","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","691.98","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMSTN","+","Estimated number of population living in households where at least one adult experienced moderate or severe food insecurity","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","923.80","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESS","+","Estimated prevalence of severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.79","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESS","+","Estimated prevalence of severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESS","+","Estimated prevalence of severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.50","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESS","+","Estimated prevalence of severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESS","+","Estimated prevalence of severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51","G, 26, 62","","","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESS","+","Estimated prevalence of severe food insecurity in the population","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Rural","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","G, 26, 62","","","",""
